GEOID,school_id,walk_frac
530330011002,106,0.902067
530330012011,106,0.000876
530330012021,106,0.57379
530330020001,106,0.383207
530330020002,106,0.363616
530330020003,106,0.010571
530330021001,106,0.989459
530330021002,106,0.856401
530330021003,106,0.20116
530330022001,106,1.0
530330022002,106,0.894301
530330022003,106,0.125912
530330024001,106,0.030679
530330096001,107,1.0
530330096002,107,0.608712
530330096003,107,1.0
530330096004,107,1.0
530330097011,107,0.582933
530330097012,107,0.836188
530330097013,107,0.701291
530330097014,107,0.79147
530330097021,107,1.0
530330097022,107,1.0
530330097023,107,1.0
530330097024,107,1.0
530330098011,107,1.0
530330098012,107,1.0
530330098013,107,1.0
530330098021,107,1.0
530330098022,107,1.0
530330098023,107,1.0
530330099001,107,1.0
530330099002,107,0.373691
530330099004,107,0.29607
530330105011,107,1.0
530330105012,107,0.999391
530330105013,107,1.0
530330105021,107,1.0
530330105022,107,1.0
530330105023,107,1.0
530330105024,107,1.0
530330106011,107,0.721888
530330106012,107,0.214753
530330106021,107,0.20301
530330106022,107,0.304989
530330106023,107,1.0
530330107021,107,0.063596
530330061002,109,0.494885
530330061005,109,0.00013
530330062001,109,0.724296
530330062002,109,0.897071
530330062003,109,1.0
530330063001,109,0.587585
530330063002,109,0.870327
530330063003,109,0.551313
530330063004,109,0.7139
530330064001,109,1.0
530330064002,109,1.0
530330064003,109,1.0
530330065001,109,1.0
530330065002,109,1.0
530330065003,109,1.0
530330066001,109,0.211031
530330066002,109,0.128733
530330066003,109,1.0
530330072013,109,0.000579
530330072021,109,0.128971
530330072022,109,0.80437
530330072023,109,0.926686
530330072031,109,0.277939
530330073011,109,1.0
530330073012,109,1.0
530330073013,109,1.0
530330073021,109,1.0
530330073022,109,1.0
530330073023,109,1.0
530330073031,109,0.683097
530330073032,109,1.0
530330073033,109,1.0
530330074031,109,1.0
530330074032,109,1.0
530330074041,109,1.0
530330074042,109,1.0
530330074051,109,1.0
530330074052,109,1.0
530330074061,109,1.0
530330074062,109,1.0
530330075011,109,1.0
530330075012,109,1.0
530330075013,109,1.0
530330075021,109,1.0
530330075022,109,1.0
530330075023,109,1.0
530330075031,109,1.0
530330075032,109,1.0
530330076001,109,1.0
530330076002,109,1.0
530330076003,109,1.0
530330077001,109,1.0
530330077002,109,1.0
530330077003,109,1.0
530330077004,109,1.0
530330078001,109,0.433965
530330078002,109,1.0
530330078003,109,1.0
530330078004,109,1.0
530330079011,109,1.0
530330079012,109,1.0
530330079021,109,1.0
530330079022,109,1.0
530330079023,109,1.0
530330081021,109,0.769867
530330081022,109,0.243164
530330082001,109,1.0
530330082002,109,1.0
530330082003,109,1.0
530330083001,109,1.0
530330083002,109,1.0
530330084011,109,1.0
530330084012,109,1.0
530330084013,109,1.0
530330084021,109,1.0
530330084022,109,1.0
530330084023,109,1.0
530330085001,109,1.0
530330085002,109,1.0
530330085003,109,0.930018
530330086001,109,1.0
530330086002,109,1.0
530330086003,109,1.0
530330086004,109,1.0
530330087001,109,1.0
530330087002,109,1.0
530330087003,109,1.0
530330088001,109,1.0
530330088002,109,1.0
530330088003,109,1.0
530330089001,109,0.014484
530330089002,109,0.025705
530330089003,109,0.890916
530330089004,109,0.474104
530330090001,109,0.788963
530330090002,109,1.0
530330090003,109,0.733693
530330091001,109,0.401566
530330092001,109,0.004046
530330094004,109,0.075739
530330093001,110,0.19322
530330093003,110,0.147573
530330094001,110,0.913624
530330094002,110,0.951921
530330094003,110,1.0
530330094004,110,0.104376
530330094005,110,0.454311
530330095002,110,0.144157
530330095003,110,0.031124
530330095004,110,0.769028
530330100011,110,1.0
530330100012,110,1.0
530330100013,110,1.0
530330100021,110,1.0
530330100022,110,1.0
530330100023,110,1.0
530330101011,110,1.0
530330101012,110,1.0
530330101013,110,1.0
530330101021,110,0.071562
530330101022,110,0.587744
530330101023,110,0.30336
530330103011,110,0.202757
530330103012,110,2.9e-05
530330103013,110,0.472491
530330103021,110,1.0
530330103022,110,1.0
530330103023,110,0.958196
530330104011,110,1.0
530330104012,110,1.0
530330104013,110,0.817827
530330104021,110,0.804503
530330104022,110,1.0
530330104023,110,1.0
530330104024,110,1.0
530330110012,110,0.036985
530330110021,110,0.259725
530330110022,110,0.909586
530330110023,110,0.052721
530330004022,113,0.613759
530330004023,113,0.388551
530330005002,113,0.003872
530330006012,113,0.397999
530330006022,113,0.32961
530330006023,113,1.0
530330011002,113,0.004529
530330012011,113,0.5306
530330012012,113,1.0
530330012013,113,1.0
530330012021,113,0.093551
530330012022,113,0.905628
530330012023,113,1.0
530330013001,113,1.0
530330013002,113,1.0
530330013003,113,1.0
530330014001,113,0.852811
530330014002,113,0.773457
530330014003,113,0.993458
530330014004,113,0.261524
530330016001,113,0.042848
530330016002,113,0.1137
530330016003,113,0.729741
530330017011,113,1.0
530330017012,113,1.0
530330017013,113,1.0
530330017021,113,1.0
530330017022,113,1.0
530330017023,113,1.0
530330017024,113,1.0
530330018001,113,1.0
530330018002,113,1.0
530330018003,113,1.0
530330019001,113,1.0
530330019002,113,1.0
530330019003,113,1.0
530330019004,113,1.0
530330020001,113,0.474814
530330020002,113,0.910342
530330020003,113,1.0
530330026001,113,0.406687
530330026002,113,0.289072
530330026003,113,0.035302
530330026004,113,1.0
530330027001,113,1.0
530330027002,113,1.0
530330027003,113,1.0
530330027004,113,1.0
530330028001,113,1.0
530330028002,113,1.0
530330028003,113,1.0
530330028004,113,1.0
530330029001,113,1.0
530330029002,113,1.0
530330029003,113,0.879205
530330030001,113,0.643694
530330030002,113,0.456504
530330030003,113,0.054614
530330034001,113,0.00568
530330034002,113,0.335476
530330035001,113,1.0
530330035002,113,0.86147
530330035003,113,0.150415
530330036011,113,0.189221
530330036012,113,0.401103
530330036013,113,1.0
530330036021,113,0.866525
530330036022,113,1.0
530330036023,113,0.999919
530330046001,113,0.207057
530330004022,115,0.229804
530330004023,115,0.722342
530330004024,115,0.109833
530330005001,115,0.007762
530330005002,115,0.378181
530330006023,115,0.031857
530330013001,115,0.236212
530330013002,115,0.999986
530330013003,115,0.985525
530330014001,115,0.999976
530330014002,115,1.0
530330014003,115,1.0
530330014004,115,0.924076
530330015001,115,1.0
530330015002,115,0.834709
530330016001,115,0.867668
530330016002,115,1.0
530330016003,115,1.0
530330017011,115,1.0
530330017012,115,1.0
530330017013,115,1.0
530330017021,115,1.0
530330017022,115,1.0
530330017023,115,1.0
530330017024,115,1.0
530330018001,115,0.262568
530330018002,115,0.958036
530330018003,115,1.0
530330027004,115,0.045074
530330028001,115,0.65854
530330028002,115,0.264841
530330028003,115,0.005117
530330028004,115,0.974968
530330029001,115,1.0
530330029002,115,0.937018
530330029003,115,1.0
530330030001,115,1.0
530330030002,115,1.0
530330030003,115,1.0
530330030004,115,1.0
530330031001,115,1.0
530330031002,115,1.0
