draw,rho,decay_mi,beta_ms,beta_low_income,beta_swd,beta_absent,p_max,gifted_propensity,scale
49,0.8500000000000001,6.0455802672099725,0.18944933197685668,0.21037507138876427,4.733637536684036,0.10484977096865962,0.95,0.9192295274693429,0.8002925499298797
50,0.8500000000000001,4.306352724026415,0.17939771019290893,0.3303944862572285,4.927688810969366,-0.054519189882714765,0.95,0.9183856316559418,0.8691102491377337
51,0.8500000000000001,5.236476082440047,0.07423851265019953,0.2745769743689796,8.045959525681745,0.08626552606490678,0.95,0.9166782077551182,0.8271968703250285
52,0.8500000000000001,3.926633673670297,0.09685815099893094,0.33268014368489174,5.208713270546817,0.08516948801159575,0.95,0.9164549742060012,0.8897264223716205
53,0.8500000000000001,4.880523207068773,0.10644233626664519,0.28252030091105346,5.162318400163609,0.08931654362436256,0.95,0.9190124330635552,0.838416002744189
54,0.8500000000000001,4.782117939965878,0.15427290067340482,0.3192622294189916,4.814687756327862,0.10632456365828098,0.95,0.9173138420634782,0.8423633571920789
55,0.8500000000000001,5.040131212476988,0.2301082579933734,0.2685257953023254,7.0364714005161115,0.060840392545397644,0.95,0.9186614005997816,0.8382895752378101
56,0.8500000000000001,4.242439202422284,0.12181217478818214,0.23975510446538972,4.587226992764417,0.1162334992122391,0.95,0.9176605170244919,0.8734157134880226
57,0.8500000000000001,4.575821530122727,0.1334798585792591,0.2673524885925168,5.143822076899973,0.14717915772276893,0.95,0.9166652989118002,0.8543528592846582
58,0.8500000000000001,7.1133889134329245,0.06000272968080943,0.2616800842227947,5.10721365994568,0.09531782487888818,0.95,0.9171846790163961,0.7733733525816405
59,0.8500000000000001,5.194251356473348,0.08844563060553541,0.39618455141292863,2.9927755150076214,-0.022621215487044193,0.95,0.9185785600531241,0.8274488957488916
60,0.8500000000000001,5.590664507342358,0.1026716189089955,0.27673051778664143,6.535880798830804,0.006422246011513918,0.95,0.9196438760131115,0.818593396897497
61,0.8500000000000001,4.006980523240486,0.2072852919413816,0.2633630453851482,6.963694379290901,0.03501601361769198,0.95,0.9179463013745496,0.8918592078243514
62,0.8500000000000001,4.0954120006219625,0.07871028022920093,0.3058106682497307,6.533806404349671,0.17669418355297947,0.95,0.9190094390175264,0.8859696250886958
63,0.8500000000000001,4.16204404966041,0.14953603466162743,0.333445256812902,5.235773991984653,0.07475136814470386,0.95,0.9162825822695355,0.8802142246183398
64,0.8500000000000001,6.113546991839436,0.17578516710577344,0.3742122042617566,6.177388800479159,0.09781622925832499,0.95,0.9168481208572042,0.7937931387144483
65,0.8500000000000001,3.38613417381884,0.1514426466897536,0.25167818657881913,6.654769348032651,0.08563143185865665,0.95,0.9191338797062608,0.9414348112294896
66,0.8500000000000001,5.901388100919405,0.09631444237438831,0.38913639364045693,2.7632436490559544,0.07297168512226446,0.95,0.917867903992012,0.8057963916016602
67,0.8500000000000001,6.534165040739338,0.1569733892088148,0.2695457923890437,6.759822151277437,-0.005362931429970556,0.95,0.915276077280607,0.7881240270427642
68,0.8500000000000001,5.69946371218506,0.13547831692079876,0.31224080517051134,5.563882844063655,0.0785104792604396,0.95,0.9156564693051134,0.8084135245284794
69,0.8500000000000001,3.1796519288479033,0.15112383525830791,0.2920575872201014,5.861706931496751,-0.01885382211607542,0.95,0.9199403634008851,0.9564990243502854
70,0.8500000000000001,4.777117849737721,0.08614653797114703,0.3288286625433475,6.099234777655213,0.11628369321037078,0.95,0.9181864724404084,0.8397445928453706
71,0.8500000000000001,4.131998148881132,0.11186737165793609,0.2502794158301095,4.920135977740432,0.025151119909284606,0.95,0.9197875926887631,0.8814245915876388
72,0.8500000000000001,4.854586063691938,0.07987303445539627,0.3688301396248328,6.40807871486591,0.166443361250632,0.95,0.9181899693677603,0.8426634649383806
73,0.8500000000000001,6.5031133964425205,0.12112691781624202,0.3964248278163087,6.665978464872869,0.09744131848688549,0.95,0.9165223465351351,0.7876223906988596
74,0.8500000000000001,8.339212559939934,0.12203396577168803,0.33748994264215837,5.830045937702144,0.01587344246500115,0.95,0.9172216156332491,0.753389932363124
75,0.8500000000000001,5.81839509768302,0.048971537352190474,0.2914135515620134,5.494285714678509,0.010822827924543374,0.95,0.9133344892008123,0.8062600675171816
76,0.8500000000000001,5.632450567014419,0.1341727670797665,0.29095130382743795,6.543623189244865,-0.013472897132425426,0.95,0.9153363045394438,0.8073746459068974
77,0.8500000000000001,3.3349524387919884,0.08316404549572162,0.32326733146048403,6.15842730292173,0.05755622377183847,0.95,0.918503389717943,0.9378841378863486
78,0.8500000000000001,5.5685453827561355,0.1742990015991583,0.27351353743088025,5.767185925940972,0.10089621336695503,0.95,0.9181642995690714,0.8157703054138734
79,0.8500000000000001,4.177476153372536,0.1189062729191821,0.4103851746520005,5.848591656095465,0.10036853387906715,0.95,0.9184620770725903,0.875793691000268
80,0.8500000000000001,4.826973022470119,0.09829569327171485,0.3894836791569315,6.392166680927244,0.11417522746860188,0.95,0.916630748234435,0.8376865639980439
81,0.8500000000000001,6.156088784909398,0.16425074541291057,0.3328515165062686,5.173758802802515,0.10334520365306614,0.95,0.9176868872681381,0.7945731574630107
82,0.8500000000000001,5.6732557650141935,0.0863150264410076,0.44450836404182015,5.379538338328012,0.08672438424580778,0.95,0.9165118940207397,0.8076673735564632
83,0.8500000000000001,4.6096233421114485,0.049644912521872725,0.3529938033775635,5.817516200650645,0.09187136663899609,0.95,0.9128541421964981,0.8493483567419091
84,0.8500000000000001,5.014041300629905,0.03477057933955323,0.3880797087532777,5.589671589506482,0.053898930554605186,0.95,0.9134942772781207,0.8286546438015585
85,0.8500000000000001,3.9755519889270117,0.13031960773500767,0.5014591710002365,5.332008429819469,0.012342090064366016,0.95,0.9168226399204983,0.8887951427658909
86,0.8500000000000001,4.128791453617319,0.16249653494454855,0.3655643667787763,5.127417172959998,0.07668010194350931,0.95,0.9162434903785761,0.8734619121148924
87,0.8500000000000001,3.379818578652756,0.13449943402280137,0.3149602326858939,6.960350432046586,0.05928420629703228,0.95,0.9180892374852279,0.9420310846325267
88,0.8500000000000001,5.079240248035882,0.08381203230663893,0.378315042487405,7.275940283319065,0.0479973432396998,0.95,0.9144354913843976,0.828095064490016
89,0.8500000000000001,3.90749567503934,0.14571703141083067,0.37061042753903634,5.697834679766849,0.09118693264828678,0.95,0.9165193680484272,0.8928654098639242
90,0.8500000000000001,5.597365224448622,0.19230840037525052,0.37132032573097246,5.67893222099773,0.11626261020960753,0.95,0.923608569013103,0.8133714755526551
91,0.8500000000000001,5.096402913643114,0.1306662347668203,0.3129022403985026,6.241402205018364,0.09831766037955204,0.95,0.9157600129742532,0.8324514649491123
92,0.8500000000000001,4.052000452436187,0.025112436042934432,0.3885110503539614,5.485300305015239,0.03458441454028656,0.95,0.9193710158714075,0.8840999279723728
93,0.8500000000000001,3.7521058701663814,0.14405461851464416,0.3263918020671133,3.8089862627492317,0.10537689747428129,0.95,0.9160894078638271,0.9094863209303647
94,0.8500000000000001,5.781045248108467,0.15888920530271344,0.30174333713635837,4.772110891094231,0.12652402309209163,0.95,0.9173707519928391,0.8033898050066149
95,0.8500000000000001,4.060037517941589,0.17548351979857787,0.4013137539489058,5.390901656366257,0.09699555631686775,0.95,0.9164585364657221,0.8805034242293998
96,0.8500000000000001,5.886295992936519,0.09691564530758973,0.33039020390121737,4.1935528777073205,0.0804541492978503,0.95,0.9164662855107457,0.805924756602787
97,0.8500000000000001,6.104930553243215,0.1461080644130373,0.16364872748846468,5.953287972221474,0.08039288212441002,0.95,0.9173227911147488,0.8022645280192299
98,0.8500000000000001,4.028051505238686,0.07038029278955955,0.3728275941103055,6.283597490301173,0.0637738340507981,0.95,0.9211478332183908,0.8842324934400665
99,0.8500000000000001,5.6956507180023666,0.21305264940150262,0.24970502831118618,8.098456362644656,0.1198556464634406,0.95,0.9219929261087697,0.8158849561160819
100,0.8500000000000001,4.955197847905074,0.04378002970525667,0.3133012601732545,7.561965800015965,0.07347155774031489,0.95,0.9200273866908502,0.8411347934732176
101,0.8500000000000001,3.9079243863384705,0.0033985819381264926,0.3675875228465841,5.915998230803192,0.05121212152819642,0.95,0.9210919527909122,0.8926758325917701
102,0.8500000000000001,4.956877930065363,0.10003027875035773,0.28653134763963645,4.1325409836655,0.05771721587382096,0.95,0.9192682587290213,0.8434363971259374
103,0.8500000000000001,4.189239304726964,0.022790513050124844,0.29724272049735656,5.832538030028664,0.06122769463914091,0.95,0.9151646828840634,0.8705128901534822
104,0.8500000000000001,4.8769146015587665,0.1298173398750269,0.283168839951167,3.4036049617080444,0.02939105452436216,0.95,0.9170647930488846,0.8426160593020687
105,0.8500000000000001,3.468767475579855,0.0893662943214058,0.3787167552088857,6.28259747878359,0.009198416748446578,0.95,0.916316530138874,0.9297406015922014
106,0.8500000000000001,4.643869451134989,0.1290211068839998,0.23076372866164324,6.035902643530121,0.05377993159562333,0.95,0.9176032649343906,0.8563709726873407
107,0.8500000000000001,4.534200722363399,0.11940416717692721,0.2940961876730586,7.797139603857242,0.11738489005553562,0.95,0.9216866347002601,0.8634951671205089
108,0.8500000000000001,7.859768618864459,0.08603720102999511,0.2860995150415729,5.340990144539992,0.01957061032612575,0.95,0.9218023021723616,0.7619450914101843
109,0.8500000000000001,4.819617928478977,0.15154157577488506,0.4934553761499454,4.0259876947542965,0.14388939649156557,0.95,0.9155340953105031,0.838874910404401
110,0.8500000000000001,6.611537307749693,-0.004008676275053864,0.3371626880756537,5.37957163140694,0.09679207326454549,0.95,0.9151667923795419,0.7840155864439426
111,0.8500000000000001,6.489507104504252,0.15331387522023138,0.26937227957802123,4.1117232262759895,-0.019177113730159595,0.95,0.9201188087538212,0.7890395253923429
112,0.8500000000000001,4.726268791507614,0.1532118974663197,0.3280673496180812,4.186318230265925,0.08683554521178029,0.95,0.9169867881143292,0.8493689004307308
113,0.8500000000000001,6.678480304763298,0.19847040434351365,0.344862408489647,6.379879328888228,0.10140435002374493,0.95,0.9183497715150748,0.7792874649380984
114,0.8500000000000001,5.44410566652038,0.09709699736901035,0.3156282737375862,4.999146192809656,0.056218934852783925,0.95,0.914362027665944,0.8167493536680148
115,0.8500000000000001,4.369132967161354,0.14397234327060765,0.2593352951846126,4.896340180709322,0.0663632041596484,0.95,0.920519043236542,0.8658287804791107
116,0.8500000000000001,6.328626296357679,0.061315860628147395,0.22039311204297324,5.619931430089819,0.09631858126345588,0.95,0.9177332359156899,0.7947280093566513
117,0.8500000000000001,6.602702352260048,0.10662511935498917,0.27132553189731773,5.1086398076324535,0.08762348389316846,0.95,0.919224912756767,0.7867734850950452
118,0.8500000000000001,4.409370513208618,0.10800801493151248,0.23918544713301326,3.891331188986955,0.116508493091664,0.95,0.9166472790342193,0.8645738566590555
119,0.8500000000000001,4.348916243501006,-0.006994749911748983,0.34729094466723714,6.061489395769422,0.01626131350176689,0.95,0.9162111370108141,0.8655290439671034
