draw,program,base_riders,scen_riders,d_riders,base_dist_mean,base_dist_p50,base_dist_p90,scen_dist_mean,scen_dist_p50,scen_dist_p90
141,basic,10008.5,9978.9251,-29.5749,1.6042,1.2774,2.8466,1.6086,1.2891,2.8537
141,gifted,1315.5,1315.5,0.0,,,,,,
142,basic,10008.5,9978.4163,-30.0837,1.5436,1.2528,2.7856,1.5474,1.259,2.7857
142,gifted,1315.5,1315.5,0.0,,,,,,
143,basic,10008.5,9979.8511,-28.6489,1.5329,1.2359,2.7549,1.5366,1.2472,2.7576
143,gifted,1315.5,1315.5,0.0,,,,,,
144,basic,10008.5,9978.782,-29.718,1.5639,1.2794,2.8155,1.5679,1.2876,2.8158
144,gifted,1315.5,1315.5,0.0,,,,,,
145,basic,10008.5,9981.1459,-27.3541,1.5474,1.2529,2.7775,1.5512,1.259,2.7855
145,gifted,1315.5,1315.5,0.0,,,,,,
146,basic,10008.5,9978.3745,-30.1255,1.6254,1.3266,2.8474,1.6296,1.3361,2.8622
146,gifted,1315.5,1315.5,0.0,,,,,,
147,basic,10008.5,9980.4079,-28.0921,1.6003,1.2893,2.8464,1.6048,1.3035,2.8465
147,gifted,1315.5,1315.5,0.0,,,,,,
148,basic,10008.5,9979.0421,-29.4579,1.6036,1.3033,2.8462,1.6078,1.3068,2.8464
148,gifted,1315.5,1315.5,0.0,,,,,,
149,basic,10008.5,9976.2771,-32.2229,1.5236,1.2413,2.7121,1.5274,1.2475,2.722
149,gifted,1315.5,1315.5,0.0,,,,,,
150,basic,10008.5,9983.2004,-25.2996,1.5908,1.2898,2.846,1.5949,1.304,2.8461
150,gifted,1315.5,1315.5,0.0,,,,,,
151,basic,10008.5,9979.3474,-29.1526,1.5578,1.259,2.8152,1.5618,1.2736,2.8154
151,gifted,1315.5,1315.5,0.0,,,,,,
152,basic,10008.5,9979.685,-28.815,1.4973,1.223,2.6631,1.5005,1.2233,2.6631
152,gifted,1315.5,1315.5,0.0,,,,,,
153,basic,10008.5,9974.5413,-33.9587,1.5993,1.2898,2.8463,1.6036,1.304,2.8464
153,gifted,1315.5,1315.5,0.0,,,,,,
154,basic,10008.5,9982.4405,-26.0595,1.5364,1.2395,2.7555,1.5401,1.2474,2.7585
154,gifted,1315.5,1315.5,0.0,,,,,,
155,basic,10008.5,9979.9574,-28.5426,1.524,1.2299,2.7382,1.5277,1.2436,2.7424
155,gifted,1315.5,1315.5,0.0,,,,,,
156,basic,10008.5,9983.9651,-24.5349,1.5015,1.2186,2.6845,1.5048,1.2232,2.6857
156,gifted,1315.5,1315.5,0.0,,,,,,
157,basic,10008.5,9980.5142,-27.9858,1.5811,1.259,2.846,1.5855,1.272,2.846
157,gifted,1315.5,1315.5,0.0,,,,,,
