draw,school_id,program,base_eligible,base_riders,scen_eligible,scen_riders
2,106,gifted,86.791,87.675,86.791,87.675
2,107,basic,515.282,234.454,515.282,234.454
2,109,basic,149.717,91.689,149.717,91.689
2,110,basic,390.514,195.18,390.514,195.18
2,113,basic,390.728,222.122,390.728,222.122
2,113,gifted,114.163,115.325,114.163,115.325
2,115,basic,145.045,83.57,145.045,83.57
2,117,basic,263.192,147.911,263.192,147.911
2,117,gifted,50.596,51.111,50.596,51.111
2,118,basic,260.965,130.043,260.965,130.043
2,130,basic,663.608,375.4,663.608,375.4
2,201,basic,73.71,55.575,25.817,14.386
2,202,basic,163.672,89.26,129.058,62.697
2,203,basic,266.763,198.753,205.828,146.013
2,204,basic,177.098,130.177,116.704,73.997
2,208,basic,132.61,108.634,51.917,32.509
2,209,basic,143.396,54.571,15.175,5.047
2,210,basic,193.378,85.117,171.612,72.603
2,211,basic,74.154,51.415,34.737,22.781
2,212,gifted,206.143,208.241,200.823,202.867
2,215,basic,115.45,69.715,43.997,22.095
2,218,basic,162.293,112.944,119.62,81.261
2,220,basic,86.683,69.965,40.138,25.75
2,221,basic,161.823,118.731,49.075,25.518
2,222,basic,148.635,85.906,96.044,39.87
2,225,basic,84.782,45.764,41.543,19.05
2,226,basic,249.819,166.839,175.952,102.9
2,229,basic,247.274,218.709,186.66,161.141
2,230,basic,118.327,89.636,45.206,28.838
2,233,basic,284.281,195.057,152.138,97.116
2,234,basic,75.447,63.806,41.491,31.563
2,235,basic,81.213,52.553,49.982,28.337
2,236,basic,52.191,45.902,39.66,33.998
2,239,basic,270.846,165.242,194.099,106.45
2,241,basic,385.569,130.805,348.402,113.305
2,242,basic,163.036,119.167,146.306,105.246
2,243,basic,215.507,126.623,173.98,99.477
2,244,basic,37.985,34.887,18.062,15.96
2,245,basic,321.139,281.71,273.134,236.106
2,246,basic,222.738,124.978,101.564,48.263
2,247,basic,364.511,126.48,331.369,111.297
2,248,basic,150.196,105.524,103.201,70.405
2,249,basic,33.38,27.429,4.771,2.719
2,250,basic,81.708,68.592,28.687,22.078
2,251,basic,127.081,63.909,87.381,39.946
2,252,basic,238.014,183.341,214.112,160.641
2,255,basic,88.537,66.044,60.51,43.131
2,257,basic,126.518,115.765,88.694,79.833
2,259,basic,167.055,133.971,107.477,78.869
2,261,basic,179.286,162.681,95.813,83.381
2,262,basic,187.052,155.784,132.765,105.325
2,264,basic,79.586,38.052,49.982,22.299
2,266,basic,105.764,91.91,54.844,44.01
2,267,basic,123.422,112.196,85.23,76.068
