school_year,class_of,_source_id,_source_table,section_code,item_code,item_label,item_value,coefficient,calculated_value,amount,running_total
2019-2020,2020,4633,stars_operations_allocation,B,b6_alternate_system_total,B.6. Alternate System Total,,,,0.0,31533057.15
2019-2020,2020,4633,stars_operations_allocation,C,c1_alt_calendar_modifier,C.1. Alt Calendar Modifier,,1.0,,,31533057.15
2019-2020,2020,4633,stars_operations_allocation,C,c2_car_mileage_reimbursement,C.2. Car Mileage Reimbursement,,,,0.0,
2019-2020,2020,4633,stars_operations_allocation,C,c3_other_adjustments_total,C.3. Other Adjustments Total,,,,0.0,31533057.15
2019-2020,2020,4633,stars_operations_allocation,D,d1_adjusted_allocation,D.1. Adjusted Allocation,,,,31533057.15,
2019-2020,2020,4633,stars_operations_allocation,D,d2_prior_year_expenditures,D.2. Prior Year Expenditures,,,,37821486.68,
2019-2020,2020,4633,stars_operations_allocation,D,d3_federal_restricted_rate_indirects,D.3. Federal Restricted Rate Indirects,,,,1425870.05,
2019-2020,2020,4633,stars_operations_allocation,D,d4_adjusted_prior_year_expenditures,D.4. Adjusted Prior Year Expenditures,,,,39247356.73,
2019-2020,2020,4633,stars_operations_allocation,D,d5_lesser_of_adjusted_or_prior_year,D.5. Lesser of Adjusted Allocation or Adjusted Prior Year Expenditures,,,,31533057.15,
2019-2020,2020,4633,stars_operations_allocation,D,d6_legislative_salary,D.6. Legislative Salary,,,,1531672.99,
2019-2020,2020,4633,stars_operations_allocation,D,d7_legislative_benefit,D.7. Legislative Benefit,,,,0.0,
2019-2020,2020,4633,stars_operations_allocation,D,d8_actual_allocation_amount,D.8. ACTUAL ALLOCATION AMOUNT,,,,33064730.14,
2020-2021,2021,5899,stars_operations_allocation,A,land_area,Land Area (Ln),85.5,0.059,0.26246,,
2020-2021,2021,5899,stars_operations_allocation,A,average_distance,Average Distance,3.84049,0.051,0.19587,,
2020-2021,2021,5899,stars_operations_allocation,A,destinations,Destinations,45.75,0.012,0.549,,
2020-2021,2021,5899,stars_operations_allocation,A,basic_program,Basic Program (Ln),6846.0,0.696,6.14677,,
2020-2021,2021,5899,stars_operations_allocation,A,special_program,Special Program (Ln),1873.5,0.092,0.69332,,
